config,model,weighting,lambda_amp,donor,RMSE,MAPE,shape_MSE,SARIMA_RMSE,baseline_RMSE,improvement_vs_sarima_pct,improvement_vs_baseline_pct,a_transfer,fold_RMSE_std,mean_abs_log_amplitude,max_abs_log_amplitude
Model_C_uniform_lam10.0,Model_C,uniform,10.0,RUS,8703.520702630482,8.77442833234075,0.17812242540271564,4504.2538921072555,2186.946061975524,-93.22891007279908,-297.9760111124263,0.144866693764925,3498.5187781564664,1.9319413304328918,1.9320148229599
Model_A_weighted_lam0.001,Model_A,weighted,0.001,CMR,31.5092082357932,4.884040774241604,0.2956267928087681,35.02177869644508,16.74700406294494,10.029674652157029,-88.14832860470655,0.10516706522968079,1250.4370984090797,2.2502025961875916,2.254721164703369
Model_A_weighted_lam0.01,Model_A,weighted,0.01,CMR,60.84734026742628,10.061460448557723,0.2911563123479861,35.02177869644508,16.74700406294494,-73.74143328020814,-263.3326894692731,0.17024322185251448,6355.555889423866,1.76787668466568,1.7734102010726929
Model_A_weighted_lam0.1,Model_A,weighted,0.1,CMR,81.88831781488183,12.818647623803514,1.5989678993221041,35.02177869644508,16.74700406294494,-133.82112748943268,-388.9729381273099,0.13842105948262745,5014.7082731526925,1.977455347776413,1.9774565696716309
Model_A_weighted_lam1.0,Model_A,weighted,1.0,CMR,67.6405583025301,10.426745087962214,1.2959246345067008,35.02177869644508,16.74700406294494,-93.13855783514505,-303.8964703674622,0.11478802396191491,17181.51961639253,2.164666771888733,2.1646711826324463
Model_A_weighted_lam10.0,Model_A,weighted,10.0,CMR,66.5662112431104,11.206982949092586,0.9076448461622917,35.02177869644508,16.74700406294494,-90.07090365135358,-297.4813106446743,0.15371530254681903,13793.471483197824,1.8724689781665802,1.8730173110961914
Model_A_uniform_lam0.001,Model_A,uniform,0.001,CMR,206.8794007857152,35.85923188810779,1.9719647265958447,35.02177869644508,16.74700406294494,-490.7164298503054,-1135.3218522437962,0.4697263315320015,951.543166477551,0.7556051760911942,0.7562863230705261
Model_A_uniform_lam0.01,Model_A,uniform,0.01,CMR,55.779873080387055,7.318313337503142,0.2719827155715226,35.02177869644508,16.74700406294494,-59.27195921105242,-233.07374185098416,0.2003207877278328,5158.992069508266,1.6078363358974457,1.6102153062820435
Model_A_uniform_lam0.1,Model_A,uniform,0.1,CMR,120.31986026585025,20.633585888714038,1.3968032265488721,35.02177869644508,16.74700406294494,-243.5572513570347,-618.4560283953987,0.28074919432401657,9529.903022067327,1.2702935338020325,1.2702937126159668
Model_A_uniform_lam1.0,Model_A,uniform,1.0,CMR,389.3731007878095,69.63491549961786,0.3609781132697721,35.02177869644508,16.74700406294494,-1011.8027561156772,-2225.031386654711,0.5959257334470749,6693.8448199312315,0.517639234662056,0.5176393389701843
Model_A_uniform_lam10.0,Model_A,uniform,10.0,CMR,158.85138508783672,23.769812389815502,0.5893594533727087,35.02177869644508,16.74700406294494,-353.57886149843404,-848.536135124714,0.46853411942720413,28469.188203887632,0.7581463605165482,0.7581485509872437
Model_B_weighted_lam0.001,Model_B,weighted,0.001,CMR,22.9177490410223,3.8911548482647857,0.1478837281603301,35.02177869644508,16.74700406294494,34.56143607192462,-36.84685902555543,0.10587447136640549,1512.813063989642,2.2448081970214844,2.2476539611816406
